country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ecuador,48.06,48.64,49.23,49.87,50.54,51.23,51.93,52.65,53.38,54.09,54.77,55.42,56.01,56.53,57.02,57.47,57.89,58.32,58.76,59.21,59.67,60.16,60.67,61.18,61.73,62.3,62.9,63.51,64.16,64.82,65.49,66.17,66.85,67.53,68.18,68.83,69.46,70.06,70.64,71.2,71.4,71.7,71.8,72.2,72.3,72.5,72.7,72.8,73.1,73.2,73.4,73.6,73.7,73.9,74.1,74.3,74.5,74.7,74.9,75.1,75.3,75.5,75.6,75.8,75.9,76.0
Egypt,39.32,40.72,42.03,43.22,44.3,45.29,46.17,46.97,47.68,48.31,48.89,49.43,49.94,50.42,50.88,51.29,51.65,51.97,52.25,52.54,52.88,53.31,53.84,54.46,55.17,55.93,56.69,57.45,58.16,58.85,59.52,60.21,60.93,61.65,62.38,63.07,63.7,64.27,64.76,65.2,65.4,66.1,66.4,66.7,67.4,67.9,68.2,68.6,69.0,69.7,69.7,69.8,69.8,69.9,70.1,70.1,70.3,70.2,70.1,70.1,70.4,70.5,71.0,71.3,71.5,71.7
El Salvador,44.11,45.06,45.99,46.9,47.8,48.68,49.55,50.39,51.22,52.02,52.77,53.5,54.18,54.81,55.4,55.93,56.41,56.84,57.24,57.57,57.85,58.07,58.22,58.33,58.36,58.33,58.22,58.09,57.98,57.96,58.13,58.53,59.19,60.11,61.24,62.54,63.91,65.28,66.55,67.7,68.1,68.9,69.3,69.6,70.0,70.3,70.8,71.0,71.6,71.9,71.7,72.5,72.6,72.8,73.0,73.3,73.5,73.7,73.8,74.1,74.3,74.5,74.6,74.8,74.9,75.0
Equatorial Guinea,34.55,34.9,35.25,35.59,35.95,36.3,36.65,36.99,37.34,37.69,38.04,38.38,38.73,39.08,39.44,39.78,40.13,40.48,40.82,41.17,41.52,41.87,42.21,42.56,42.91,43.28,43.65,44.04,44.44,44.85,45.26,45.69,46.11,46.52,46.92,47.33,47.73,48.14,48.52,48.9,48.7,48.7,48.6,48.5,48.5,48.9,50.3,51.2,52.0,52.9,54.0,54.9,55.3,55.9,56.0,56.8,57.1,57.5,58.0,58.6,58.7,59.4,60.5,61.0,61.0,61.0
Eritrea,36.47,36.75,37.02,37.29,37.58,37.86,38.14,38.42,38.73,39.03,39.35,39.69,40.04,40.41,40.81,41.22,41.66,42.1,42.56,43.02,43.47,43.92,44.35,44.75,45.14,45.49,45.8,46.09,46.38,46.66,46.97,47.33,47.74,48.21,48.77,49.38,50.06,50.8,51.58,52.4,53.4,54.9,56.2,57.0,57.8,58.4,59.0,58.8,52.2,37.6,59.9,60.0,59.9,60.0,59.9,60.0,60.1,60.1,60.1,60.1,60.2,60.3,60.4,60.6,60.7,60.8
Estonia,59.91,61.13,63.7,65.05,65.73,67.36,67.84,68.29,68.72,69.42,69.74,69.93,69.99,70.74,70.81,70.78,71.08,70.7,70.4,70.51,70.71,70.48,70.83,70.94,70.26,69.88,70.01,69.87,69.66,69.75,69.62,70.03,69.95,69.83,69.97,71.11,71.13,71.17,70.73,70.1,69.6,69.3,68.2,66.3,67.7,69.8,70.0,69.5,70.2,70.4,70.0,70.9,71.5,72.0,72.5,72.9,73.0,74.2,74.9,76.4,76.3,76.7,77.5,77.6,77.8,78.0
Ethiopia,33.09,33.41,33.8,34.23,34.72,35.25,32.41,30.37,37.08,37.72,38.35,38.94,39.49,39.36,38.13,39.09,41.09,41.38,41.65,41.9,42.14,41.98,39.85,37.71,38.78,42.86,42.41,42.07,42.74,42.8,42.87,42.93,42.5,39.46,35.43,41.39,43.95,44.4,44.82,45.2,46.9,47.8,48.4,48.8,49.2,50.0,50.6,51.1,50.6,52.1,52.7,53.6,54.3,55.2,56.1,57.2,58.6,60.0,61.2,62.1,62.9,63.6,64.2,64.7,65.2,65.7
Fiji,51.3,51.85,52.38,52.9,53.4,53.89,54.36,54.81,55.26,55.7,56.12,56.54,56.94,57.35,57.75,58.14,58.52,58.89,59.26,59.61,59.96,60.29,60.6,60.91,61.21,61.5,61.8,62.09,62.37,62.65,62.92,63.2,63.46,63.71,63.96,64.2,64.43,64.66,64.88,65.1,65.1,65.0,64.8,64.7,64.5,64.3,64.1,64.2,64.1,64.2,64.4,64.5,64.6,64.7,64.8,64.8,64.9,64.9,64.9,65.2,65.3,65.4,65.6,65.7,65.8,65.9
Finland,65.68,66.56,66.63,67.59,67.39,68.01,67.51,68.65,68.83,69.03,69.07,68.78,69.19,69.4,69.16,69.68,69.86,69.82,69.7,70.4,70.22,70.91,71.42,71.34,71.89,72.04,72.56,73.13,73.42,73.71,74.03,74.6,74.51,74.82,74.49,74.86,74.89,74.85,75.07,75.1,75.4,75.7,76.0,76.4,76.7,76.8,77.1,77.3,77.5,77.8,78.1,78.3,78.5,78.8,79.0,79.2,79.4,79.6,79.8,80.0,80.3,80.5,80.8,80.9,80.9,80.9
France,66.17,67.46,67.4,68.27,68.54,68.57,69.0,70.24,70.27,70.49,71.07,70.61,70.46,71.43,71.26,71.67,71.67,71.66,71.4,72.29,72.27,72.52,72.69,73.04,73.13,73.38,73.99,74.12,74.43,74.53,74.69,75.07,75.06,75.56,75.67,75.95,76.55,76.78,76.91,77.2,77.3,77.6,77.7,78.0,78.2,78.4,78.7,78.7,78.8,79.1,79.2,79.4,79.6,80.2,80.4,80.7,81.0,81.1,81.2,81.4,81.6,81.6,81.7,81.7,81.8,81.9
French Guiana,52.52,53.05,53.58,54.12,54.67,55.22,55.78,56.37,57.0,57.68,58.44,59.28,60.19,61.14,62.1,63.0,63.8,64.46,64.97,65.34,65.57,65.71,65.81,65.91,66.04,66.24,66.51,66.87,67.3,67.79,68.31,68.83,69.33,69.79,70.2,70.57,70.92,71.27,71.6,71.94,72.27,72.61,72.93,73.25,73.56,73.84,74.1,74.34,74.55,74.75,74.92,75.07,75.21,75.35,75.5,75.65,75.82,76.01,76.21,76.43,76.65,76.89,77.12,77.35,77.58,77.81
French Polynesia,46.52,48.28,49.86,51.27,52.5,53.55,54.44,55.18,55.78,56.28,56.71,57.09,57.47,57.85,58.24,58.65,59.06,59.45,59.83,60.18,60.52,60.84,61.15,61.47,61.82,62.23,62.72,63.28,63.9,64.56,65.22,65.84,66.39,66.87,67.27,67.59,67.88,68.15,68.42,68.7,69.01,69.33,69.68,70.05,70.43,70.82,71.21,71.59,71.96,72.31,72.67,73.03,73.4,73.77,74.13,74.48,74.81,75.11,75.38,75.62,75.84,76.05,76.26,76.47,76.69,76.91
Gabon,35.84,36.34,36.8,37.19,37.54,37.83,38.1,38.33,38.56,38.83,39.15,39.56,40.07,40.7,41.42,42.21,43.06,43.9,44.74,45.55,46.35,47.13,47.9,48.68,49.45,50.23,51.01,51.81,52.61,53.42,54.24,55.07,55.88,56.66,57.4,58.04,58.58,59.0,59.32,59.5,59.8,60.2,60.1,59.9,59.8,59.6,59.9,60.0,59.7,59.3,59.0,59.4,59.4,59.4,60.1,60.9,61.6,61.7,62.1,63.0,63.3,63.9,64.4,65.0,65.9,66.81
Gambia,31.85,32.33,32.78,33.22,33.65,34.06,34.46,34.86,35.27,35.7,36.16,36.68,37.26,37.91,38.66,39.47,40.36,41.3,42.3,43.31,44.36,45.42,46.47,47.51,48.56,49.58,50.6,51.61,52.62,53.61,54.59,55.55,56.48,57.37,58.21,58.97,59.65,60.26,60.81,61.3,61.5,61.5,62.0,62.3,62.6,62.8,63.1,63.4,63.4,63.6,63.9,63.8,64.4,64.7,64.9,65.2,65.3,65.7,66.0,66.5,67.1,67.5,67.8,68.0,68.1,68.2
Georgia,59.96,60.36,60.75,61.15,61.54,61.93,62.32,62.72,63.11,63.5,63.9,64.31,64.71,65.11,65.52,65.9,66.26,66.6,66.93,67.24,67.54,67.85,68.17,68.47,68.76,69.0,69.19,69.31,69.37,69.4,69.42,69.46,69.52,69.62,69.75,69.86,69.94,69.96,69.95,69.9,69.9,69.4,69.2,70.2,70.7,71.2,71.3,71.4,71.4,71.4,71.7,71.6,71.7,71.5,71.8,71.9,72.1,71.8,72.1,72.2,72.2,72.4,72.5,72.6,72.9,73.2
Germany,67.08,67.4,67.7,68.0,68.28,68.57,68.49,69.23,69.34,69.26,69.85,70.01,70.1,70.66,70.65,70.77,70.99,70.64,70.48,70.72,70.94,71.16,71.41,71.71,71.56,72.02,72.63,72.6,72.96,73.14,73.37,73.69,73.97,74.44,74.55,74.75,75.15,75.33,75.51,75.4,75.6,76.0,76.1,76.4,76.6,76.9,77.3,77.6,77.8,78.1,78.4,78.6,78.8,79.2,79.4,79.7,79.9,80.0,80.1,80.3,80.5,80.6,80.7,80.7,80.8,80.9
Ghana,41.66,42.22,42.76,43.3,43.83,44.36,44.87,45.37,45.86,46.34,46.8,47.25,47.66,48.07,48.44,48.8,49.14,49.46,49.78,50.08,50.39,50.7,51.02,51.35,51.68,52.0,52.33,52.63,52.95,53.26,53.6,53.95,54.34,54.76,55.23,55.75,56.31,56.89,57.47,58.0,58.4,58.7,59.5,59.6,60.0,60.1,59.8,60.1,60.1,60.0,59.9,60.0,60.2,60.5,60.8,61.2,61.6,62.0,62.4,62.9,63.5,64.1,64.5,64.8,65.3,65.8
Greece,65.57,65.72,65.92,66.16,66.46,66.79,67.16,67.57,67.99,68.41,68.8,69.14,69.44,69.69,69.91,70.12,70.34,70.59,70.88,71.2,71.53,71.85,72.13,72.39,72.62,72.85,73.1,73.38,73.68,74.01,74.33,74.64,74.94,75.21,75.47,75.73,76.01,76.32,76.66,77.0,77.1,77.1,77.5,77.7,77.8,77.9,78.1,78.2,78.3,78.6,78.9,79.1,79.3,79.4,79.6,80.0,79.8,80.2,80.2,80.4,80.5,80.6,81.0,81.0,81.0,81.0
Greenland,43.94,45.59,48.67,51.76,54.85,57.94,58.82,59.71,60.6,61.49,61.85,62.22,62.59,62.97,63.34,63.71,64.08,64.45,64.82,65.19,65.01,64.84,64.66,64.49,64.31,64.14,63.96,63.78,63.61,63.09,62.71,62.8,62.89,63.05,63.42,63.81,64.22,64.14,64.22,64.6,65.1,65.5,65.9,66.3,66.5,66.8,66.9,67.2,67.5,67.8,68.0,68.3,68.5,68.8,69.1,69.5,70.0,70.3,70.6,70.8,71.2,71.6,71.8,72.0,72.1,72.2
Grenada,55.81,56.39,56.97,57.52,58.07,58.61,59.12,59.63,60.11,60.59,61.05,61.49,61.93,62.35,62.76,63.16,63.54,63.91,64.27,64.62,64.97,65.29,65.62,65.92,66.22,66.52,66.79,67.07,67.33,67.6,67.86,68.1,68.35,68.59,68.83,69.06,69.28,69.5,69.7,69.9,70.2,70.2,70.0,70.4,70.7,70.8,70.8,70.6,70.6,70.5,70.3,70.2,70.2,69.3,70.3,70.5,70.7,70.8,70.9,71.0,71.0,71.1,71.2,71.4,71.5,71.6
Guadeloupe,52.09,52.94,53.77,54.57,55.35,56.11,56.84,57.55,58.24,58.91,59.58,60.23,60.87,61.51,62.14,62.75,63.34,63.91,64.46,64.98,65.49,65.99,66.49,66.97,67.46,67.93,68.4,68.86,69.31,69.75,70.18,70.6,71.01,71.42,71.82,72.21,72.6,72.98,73.35,73.72,74.08,74.44,74.79,75.14,75.48,75.82,76.15,76.48,76.8,77.12,77.43,77.74,78.04,78.35,78.65,78.95,79.25,79.55,79.85,80.14,80.43,80.69,80.95,81.18,81.41,81.64
Guam,56.53,57.04,57.55,58.08,58.6,59.12,59.65,60.18,60.71,61.24,61.76,62.28,62.79,63.29,63.78,64.26,64.72,65.18,65.63,66.06,66.49,66.9,67.3,67.7,68.07,68.43,68.79,69.13,69.47,69.8,70.12,70.42,70.73,71.02,71.3,71.58,71.84,72.09,72.35,72.6,72.4,72.4,72.5,72.7,73.0,73.2,69.4,73.4,73.5,73.6,73.6,73.6,73.5,73.3,73.1,72.7,72.4,72.1,71.8,71.6,71.5,71.5,71.6,71.6,71.7,71.8
Guatemala,42.06,42.44,42.83,43.27,43.73,44.23,44.77,45.32,45.91,46.51,47.12,47.76,48.4,49.05,49.73,50.43,51.16,51.93,52.72,53.5,54.27,55.0,55.67,56.28,56.82,57.32,57.78,58.22,58.66,59.12,59.6,60.1,60.62,61.16,61.72,62.28,62.86,63.45,64.02,64.6,64.0,63.8,64.2,64.6,66.9,68.1,67.7,67.7,68.8,68.8,69.3,70.0,70.1,70.2,69.8,70.2,71.0,71.2,70.9,71.2,71.6,72.1,72.3,72.4,72.6,72.8
Guinea,33.12,33.44,33.74,34.04,34.35,34.64,34.92,35.2,35.46,35.71,35.95,36.17,36.37,36.57,36.77,36.96,37.16,37.37,37.61,37.89,38.2,38.57,38.97,39.43,39.94,40.47,41.04,41.63,42.25,42.92,43.66,44.47,45.37,46.32,47.33,48.35,49.37,50.33,51.22,52.0,52.3,52.5,53.0,53.1,53.4,53.8,54.0,54.0,54.0,54.2,54.4,54.7,55.1,55.6,56.0,56.4,56.8,57.1,57.5,57.9,58.2,58.5,58.8,58.6,59.1,59.6
Guinea-Bissau,39.65,40.03,40.42,40.81,41.2,41.58,41.97,42.36,42.75,43.14,43.39,43.64,43.89,44.15,44.39,44.63,44.86,45.09,45.29,45.5,45.71,45.91,46.12,46.33,46.54,46.77,47.02,47.27,47.54,47.83,48.13,48.45,48.78,49.13,49.49,49.87,50.26,50.67,51.09,51.5,51.7,51.8,52.0,52.2,52.3,52.6,52.8,51.7,52.5,52.8,52.7,52.7,52.8,52.8,52.9,53.0,53.2,53.6,53.9,54.3,54.5,54.8,55.1,55.3,55.6,55.9
Guyana,57.51,57.68,57.85,58.04,58.21,58.38,58.56,58.73,58.9,59.08,59.24,59.41,59.58,59.75,59.92,60.09,60.25,60.43,60.59,60.75,60.92,61.08,61.24,61.4,61.56,61.72,61.88,62.03,62.18,62.34,62.5,62.67,62.85,63.02,63.21,63.41,63.61,63.8,64.01,64.2,64.3,64.5,64.4,64.5,64.4,64.3,64.3,64.3,64.3,64.2,63.9,63.5,63.7,64.2,64.4,64.8,64.9,65.0,65.3,65.5,65.6,65.9,66.2,66.4,66.8,67.2
Haiti,36.56,37.22,37.87,38.5,39.12,39.74,40.34,40.93,41.52,42.1,42.68,43.26,43.82,44.38,44.93,45.43,45.9,46.33,46.73,47.1,47.45,47.81,48.17,48.53,48.9,49.28,49.63,49.97,50.3,50.62,50.94,51.29,51.64,52.02,52.42,52.81,53.21,53.59,53.95,54.3,54.4,54.9,54.7,55.4,56.2,56.7,57.0,57.5,58.0,58.7,59.2,59.6,59.7,58.6,60.0,60.3,60.8,61.0,61.7,32.2,62.4,62.9,63.4,63.8,64.3,64.8
Honduras,41.86,42.39,42.95,43.54,44.16,44.83,45.52,46.23,46.97,47.71,48.47,49.21,49.94,50.65,51.35,52.02,52.68,53.34,54.0,54.68,55.37,56.07,56.8,57.56,58.34,59.15,59.97,60.8,61.65,62.5,63.36,64.24,65.12,66.01,66.86,67.67,68.42,69.11,69.73,70.3,70.3,70.1,69.9,70.1,70.1,70.1,70.2,63.9,70.3,70.5,70.6,70.7,70.8,71.0,71.2,71.4,71.6,71.8,71.9,72.0,72.2,72.3,72.6,72.8,73.0,73.2
"Hong Kong, China",62.38,62.9,63.43,63.98,64.54,65.11,65.69,66.28,66.87,67.45,68.01,68.55,69.05,69.52,69.96,70.37,70.77,71.15,71.53,71.89,72.25,72.58,72.9,73.2,73.49,73.78,74.06,74.35,74.64,74.93,75.22,75.5,75.77,76.03,76.28,76.53,76.78,77.02,77.27,77.52,77.77,78.01,78.25,78.48,78.72,78.99,79.29,79.63,79.99,80.36,80.73,81.08,81.4,81.68,81.92,82.12,82.31,82.49,82.66,82.84,83.02,83.2,83.38,83.56,83.73,83.9
Hungary,62.48,64.05,63.89,65.46,66.91,66.07,66.44,67.45,67.35,68.13,69.06,68.0,69.02,69.52,69.22,69.98,69.55,69.38,69.45,69.29,69.19,69.82,69.69,69.41,69.46,69.75,70.02,69.56,69.77,69.18,69.24,69.47,69.03,69.07,69.01,69.22,69.69,70.09,69.53,69.5,69.2,69.1,69.2,69.5,70.1,70.5,70.9,71.1,71.3,71.8,72.3,72.6,72.7,72.9,73.1,73.3,73.6,73.9,74.3,74.6,75.0,75.5,76.1,76.5,76.7,76.9
Iceland,71.12,72.57,72.39,73.45,73.4,73.08,73.58,73.55,72.78,74.22,73.6,73.82,73.13,73.72,74.0,73.4,73.9,74.12,73.9,74.0,73.75,74.66,74.52,74.59,75.57,76.94,76.35,76.66,76.88,76.92,76.61,77.26,76.91,77.71,77.85,78.38,77.53,77.39,78.46,78.3,78.4,78.6,78.8,79.1,78.9,79.4,79.6,79.9,80.2,80.5,80.8,81.0,81.3,81.5,81.7,81.8,82.1,82.4,82.5,82.8,82.9,83.1,83.2,83.3,83.3,83.3
India,35.1,35.76,36.44,37.11,37.79,38.48,39.16,39.85,40.56,41.26,41.99,42.72,43.46,44.23,44.98,45.73,46.49,47.21,47.93,48.65,49.35,50.08,50.81,51.53,52.25,52.93,53.56,54.14,54.65,55.1,55.51,55.86,56.19,56.51,56.81,57.11,57.39,57.65,57.93,58.2,58.5,58.8,59.1,59.5,59.9,60.2,60.5,60.8,61.2,61.5,61.9,62.3,62.8,63.2,63.6,63.9,64.3,64.7,65.0,65.4,65.7,66.1,66.5,66.9,67.2,67.5
Indonesia,36.99,37.93,38.86,39.78,40.68,41.57,42.45,43.32,44.17,45.01,45.83,46.65,47.45,48.24,43.77,44.18,50.54,51.27,52.0,52.71,53.4,54.09,54.75,55.41,56.04,56.67,57.27,57.87,58.45,59.01,59.57,60.12,60.64,61.16,61.66,62.15,62.63,63.1,63.55,64.0,64.5,64.9,65.3,65.7,66.1,66.4,66.7,67.0,67.2,67.5,67.8,68.0,68.2,66.7,68.7,68.9,69.2,69.4,69.6,69.8,70.1,70.3,70.6,70.8,71.1,71.4
Iran,40.29,40.92,41.56,42.19,42.84,43.47,44.11,44.74,45.38,46.0,46.61,47.22,47.83,48.43,49.04,49.66,50.3,50.98,51.67,52.43,53.28,54.24,55.24,56.24,57.1,57.64,57.78,57.52,56.95,56.24,55.62,55.32,55.49,56.19,57.39,59.01,60.83,62.67,64.43,66.0,67.8,68.5,69.1,69.6,69.9,69.8,70.3,70.8,71.3,71.4,71.3,71.3,70.1,71.5,71.9,72.4,72.8,73.1,73.4,73.7,74.1,74.3,74.5,74.6,74.6,74.6
Iraq,35.08,36.58,38.04,39.45,40.81,42.11,43.38,44.61,45.79,46.96,48.11,49.24,50.36,51.46,52.52,53.51,54.42,55.24,55.96,56.61,57.21,57.77,58.31,58.81,59.19,59.35,59.26,58.94,58.44,57.91,57.52,57.41,57.68,58.34,59.36,60.65,62.05,63.41,64.65,65.7,63.9,65.4,65.4,65.4,65.3,65.3,65.2,65.7,65.9,65.8,66.4,66.1,66.1,66.3,65.7,65.1,65.3,66.6,67.1,67.3,67.7,68.1,68.3,67.7,67.4,67.1
Ireland,65.07,67.52,68.3,68.44,68.46,69.43,69.51,69.84,69.99,70.76,70.24,70.57,70.85,71.12,71.35,70.89,71.95,71.67,71.62,71.68,72.5,71.86,72.11,72.08,72.68,72.81,72.98,72.98,73.28,73.66,74.04,74.34,74.4,74.87,74.84,74.93,75.76,75.82,75.87,76.3,76.7,76.8,76.9,77.3,77.1,77.5,77.4,77.6,77.7,77.8,78.4,78.8,79.1,79.3,79.7,79.8,80.1,80.1,80.3,81.0,80.6,81.1,81.5,81.6,81.7,81.8
Israel,64.42,65.04,65.62,66.15,66.65,67.1,67.51,67.89,68.24,68.55,68.85,69.13,69.41,69.68,69.93,70.17,70.39,70.6,70.78,70.96,71.13,71.33,71.54,71.78,72.04,72.33,72.62,72.9,73.19,73.47,73.74,73.99,74.49,74.78,75.1,74.92,75.29,75.65,76.24,76.7,76.5,76.3,76.9,77.1,77.4,77.7,77.9,78.1,78.5,78.6,78.8,78.6,79.1,79.5,79.7,79.6,80.3,80.6,81.0,81.6,81.6,82.1,82.0,81.3,82.1,82.91
Italy,65.3,65.93,66.56,67.88,68.23,67.62,67.79,68.85,69.3,69.19,69.82,69.21,69.32,70.37,70.24,70.99,71.03,70.85,70.87,71.62,71.87,72.15,72.09,72.81,72.72,73.07,73.44,73.78,74.11,74.07,74.46,74.93,74.75,75.51,75.62,75.94,76.36,76.54,76.94,77.0,77.0,77.3,77.6,77.8,78.1,78.3,78.7,78.9,79.3,79.6,79.8,80.1,80.1,80.9,81.1,81.2,81.3,81.5,81.6,81.9,82.0,82.0,82.1,82.1,82.2,82.3
Jamaica,58.02,59.06,60.07,61.03,61.95,62.83,63.66,64.47,65.21,65.91,66.57,67.17,67.74,68.25,68.73,69.17,69.58,69.99,70.36,70.72,71.06,71.39,71.71,72.0,72.29,72.58,72.89,73.21,73.52,73.82,74.1,74.34,74.55,74.7,74.79,74.84,74.85,74.85,74.83,74.8,74.9,74.9,74.8,74.8,74.7,74.5,74.4,74.5,74.6,74.4,74.2,74.5,74.8,75.0,75.4,75.5,75.3,75.1,74.8,74.8,74.6,74.7,74.8,74.8,75.0,75.2
Japan,60.98,63.02,63.36,64.6,65.76,65.62,65.49,67.11,67.49,67.78,68.43,68.71,69.79,70.26,70.31,71.12,71.41,71.73,71.96,72.05,72.87,73.39,73.45,73.88,74.38,74.78,75.35,75.67,76.18,76.16,76.57,77.08,77.11,77.5,77.8,78.22,78.63,78.54,78.97,79.0,79.1,79.3,79.4,79.8,79.7,80.2,80.4,80.5,80.6,81.0,81.3,81.6,81.7,81.9,82.0,82.2,82.4,82.5,82.7,82.7,82.6,82.9,83.0,83.1,83.2,83.3
Jordan,45.56,46.45,47.34,48.23,49.09,49.95,50.8,51.65,52.48,53.3,54.12,54.94,55.75,56.55,57.35,58.13,58.9,59.66,60.42,61.15,61.87,62.59,63.3,63.98,64.64,65.28,65.89,66.46,67.0,67.51,68.0,68.45,68.9,69.33,69.75,70.15,70.52,70.87,71.2,71.5,71.9,72.2,72.2,72.4,72.5,72.6,72.8,73.0,73.2,73.4,73.6,73.8,74.0,74.1,74.5,75.5,76.3,76.9,77.5,77.9,78.1,78.2,78.3,78.4,78.5,78.6
Kazakhstan,54.67,55.15,55.63,56.11,56.58,57.05,57.51,57.98,58.44,58.91,59.38,59.85,60.31,60.79,61.24,61.69,62.12,62.53,62.92,63.27,63.6,63.89,64.16,64.4,64.64,64.88,65.13,65.41,65.71,66.05,66.43,66.84,67.28,67.7,68.07,68.34,68.48,68.47,68.31,68.0,67.6,67.1,65.3,64.6,63.6,63.5,63.9,64.2,65.0,64.9,65.1,65.4,65.3,65.3,65.3,65.3,65.8,67.1,68.2,68.5,69.1,69.7,70.0,70.2,70.2,70.2
Kenya,42.33,42.71,43.16,43.64,44.17,44.75,45.37,46.03,46.72,47.42,48.13,48.82,49.48,50.13,50.75,51.35,51.96,52.57,53.19,53.83,54.45,55.08,55.69,56.29,56.89,57.49,58.1,58.74,59.36,59.96,60.52,61.02,61.42,61.74,61.96,62.09,62.13,62.1,62.0,61.8,61.1,60.3,59.5,58.7,58.1,57.4,56.7,56.1,55.8,55.6,55.6,55.7,55.8,56.2,57.2,58.4,59.8,60.8,61.9,62.9,63.7,64.3,64.8,65.0,65.1,65.2
Kiribati,42.25,42.65,43.05,43.44,43.85,44.25,44.64,45.04,45.45,45.84,46.24,46.64,47.03,47.44,47.84,48.23,48.63,49.02,49.42,49.82,50.21,50.61,51.02,51.41,51.81,52.2,52.58,52.97,53.36,53.75,54.17,54.62,55.08,55.56,56.04,56.5,56.93,57.33,57.68,58.0,58.2,58.4,58.4,58.7,58.9,59.2,59.4,59.5,59.6,59.8,60.1,60.2,60.4,60.6,60.8,61.0,61.2,61.5,61.7,61.9,62.1,62.3,62.6,62.8,63.0,63.2
Kuwait,52.95,54.13,55.27,56.36,57.43,58.45,59.44,60.38,61.29,62.15,62.98,63.77,64.53,65.24,65.92,66.58,67.2,67.8,68.38,68.93,69.46,69.97,70.46,70.93,71.39,71.85,72.29,72.72,73.14,73.58,74.0,74.41,74.81,75.22,75.59,75.95,76.29,76.62,76.92,77.2,64.4,80.0,78.7,77.6,76.5,76.0,76.2,76.3,77.3,77.7,77.6,78.2,78.5,78.1,77.7,77.7,77.7,77.3,77.4,78.5,79.0,79.1,79.7,80.2,80.3,80.4
Kyrgyz Republic,52.07,52.52,52.96,53.41,53.86,54.31,54.75,55.2,55.64,56.09,56.54,56.99,57.44,57.9,58.34,58.76,59.19,59.58,59.95,60.3,60.61,60.88,61.14,61.38,61.6,61.83,62.05,62.3,62.57,62.89,63.23,63.62,64.04,64.45,64.86,65.23,65.54,65.77,65.93,66.0,65.9,65.6,65.3,65.0,65.1,65.2,65.3,65.6,65.8,65.9,66.0,65.9,66.0,66.2,66.5,66.7,67.0,67.3,67.7,67.9,68.5,69.0,69.4,69.6,69.8,70.0
Lao,39.88,40.13,40.37,40.62,40.86,41.11,41.37,41.62,41.87,42.13,42.38,42.64,42.89,43.13,43.39,43.64,43.89,44.15,44.41,44.66,44.91,45.16,45.39,45.62,45.85,46.05,46.26,46.47,46.69,46.91,47.17,47.45,47.76,48.12,48.54,49.02,49.56,50.16,50.8,51.5,52.0,52.4,52.8,53.2,53.6,54.0,54.4,54.9,55.5,56.1,56.6,57.6,58.4,59.3,60.1,60.8,61.7,62.5,63.3,64.1,65.0,65.6,66.1,66.6,67.1,67.6
Latvia,60.48,61.88,63.19,64.38,65.46,66.44,67.31,68.07,69.53,70.37,70.6,69.97,70.36,71.62,71.29,71.26,70.94,70.56,70.29,70.31,70.66,70.35,70.29,70.22,69.37,69.48,69.56,69.45,68.93,69.23,69.18,69.75,69.51,69.56,69.72,71.09,71.14,71.05,70.55,69.6,69.1,68.4,66.7,65.7,66.5,68.6,69.3,69.0,70.0,70.5,70.0,70.4,70.8,71.2,71.1,70.8,71.3,72.4,73.3,73.9,74.6,75.1,75.0,75.2,75.4,75.6
Lebanon,59.61,60.04,60.45,60.85,61.23,61.6,61.95,62.28,62.6,62.9,63.19,63.47,63.74,64.0,64.25,64.5,64.76,65.01,65.27,65.52,65.75,65.98,66.18,66.37,66.54,66.69,66.83,66.96,67.08,67.21,67.36,67.52,67.68,67.87,68.07,68.29,68.53,68.78,69.03,69.3,71.9,72.2,72.5,73.0,73.4,74.0,74.4,74.9,75.6,75.9,76.3,76.6,76.9,77.1,77.3,77.4,77.5,77.8,77.9,78.1,76.6,78.5,78.6,78.7,78.9,79.1
Lesotho,41.53,42.11,42.72,43.33,43.96,44.59,45.22,45.85,46.46,47.02,47.54,47.97,48.32,48.59,48.79,48.95,49.09,49.24,49.43,49.67,49.96,50.31,50.7,51.14,51.63,52.17,52.75,53.38,54.01,54.65,55.25,55.82,56.34,56.83,57.31,57.88,58.51,59.21,59.92,60.5,60.6,60.4,60.1,59.2,58.7,57.9,56.6,54.6,52.9,50.7,48.9,47.0,45.4,44.2,43.1,43.1,43.3,44.5,45.5,46.4,46.7,46.1,45.6,45.4,47.1,48.86
Liberia,33.11,33.36,33.6,33.84,34.07,34.28,34.51,34.73,34.98,35.24,35.54,35.88,36.28,36.73,37.23,37.77,38.33,38.91,39.49,40.1,40.75,41.43,42.16,42.91,43.68,44.45,45.21,45.92,46.57,47.14,47.6,47.97,48.25,48.46,48.58,48.62,48.59,48.55,48.53,48.6,51.5,51.8,50.1,48.9,50.9,50.4,53.8,54.4,55.2,55.8,56.3,55.4,55.2,57.9,58.4,58.8,59.3,59.9,60.3,60.8,61.5,62.3,62.9,61.8,63.2,64.63
